# Obs cases, Mean cases, Std Dev cases, Mean R(t), Std Dev R(t), 2020-03-03
       1,       1,     0.8, 3.52, 0.43
       1,       2,     1.5, 3.52, 0.48
       1,       3,     2.5, 3.54, 0.54
       2,       3,     3.3, 3.55, 0.60
       8,       5,     4.2, 3.53, 0.66
      12,       7,     4.5, 3.50, 0.75
      12,       9,     5.4, 3.48, 0.83
      17,      12,     6.1, 3.45, 0.93
      19,      16,     6.3, 3.46, 1.04
      19,      19,     5.9, 3.47, 1.16
      31,      25,     6.3, 3.58, 1.30
      34,      31,     6.8, 3.67, 1.40
      45,      40,     6.4, 3.94, 1.51
      56,      51,     7.1, 4.28, 1.65
      68,      64,     7.6, 4.78, 1.72
      79,      77,     7.7, 4.99, 1.70
      97,      93,     8.2, 5.13, 1.47
     128,     123,     7.8, 6.22, 1.24
     158,     156,     8.7, 6.65, 1.04
     266,     236,    10.0, 9.08, 0.92
     301,     303,    11.5, 8.84, 0.73
     387,     391,    15.2, 8.64, 0.70
     387,     423,    17.8, 6.67, 0.49
     502,     509,    19.6, 6.50, 0.34
     589,     605,    21.8, 6.32, 0.32
     690,     714,    25.4, 6.15, 0.31
     745,     801,    28.7, 5.76, 0.32
     820,     883,    33.3, 5.32, 0.31
    1054,    1051,    36.1, 5.33, 0.29
    1054,    1144,    39.5, 4.90, 0.28
    1133,    1230,    39.8, 4.50, 0.27
    1265,    1345,    42.1, 4.26, 0.27
    1451,    1498,    48.5, 4.11, 0.27
    1451,    1584,    51.2, 3.73, 0.27
    1554,    1664,    51.5, 3.38, 0.24
    1628,    1739,    56.1, 3.08, 0.25
    1715,    1811,    60.3, 2.81, 0.23
    1795,    1885,    65.1, 2.62, 0.23
    1975,    2015,    64.6, 2.56, 0.21
    1975,    2080,    61.3, 2.37, 0.19
    2142,    2185,    69.1, 2.29, 0.20
    2208,    2264,    69.5, 2.16, 0.19
    2277,    2341,    65.6, 2.05, 0.17
    2443,    2459,    62.3, 2.02, 0.17
    2571,    2584,    61.2, 1.99, 0.17
    2669,    2710,    68.5, 1.95, 0.17
    2758,    2810,    64.2, 1.87, 0.16
    2839,    2905,    65.1, 1.80, 0.16
    2941,    3001,    70.5, 1.73, 0.16
    3031,    3097,    74.8, 1.67, 0.17
    3144,    3189,    76.4, 1.61, 0.16
    3435,    3375,    73.2, 1.68, 0.16
    3607,    3577,    69.6, 1.75, 0.15
    3780,    3763,    77.1, 1.77, 0.15
